sentence,pred_sentence,pred_sentence_tok,sentence_tok
พระอาทิตย์จ้าทำให้เขาต้องหยิบหมวกขึ้นมาใส่,พระอาทิตย์จ้าทำให้เขาต้องหยิบหมวกขึ้นมาใส่,พระอาทิตย์ จ้า ทำให้ เขา ต้อง หยิบ หมวก ขึ้น มา ใส่,พระอาทิตย์ จ้า ทำให้ เขา ต้อง หยิบ หมวก ขึ้น มา ใส่
เป็นกำลังใจให้ทุกคน,เป็นกำลังใจให้ทุกคน,เป็น กำลังใจ ให้ ทุกคน,เป็น กำลังใจ ให้ ทุกคน
ที่ใช้ในการดำรงชีวิตประจำวัน,ที่ใช้ในการดำรงชีวิตประจำวัน,ที่ ใช้ ใน การดำรง ชีวิตประจำวัน,ที่ ใช้ ใน การดำรง ชีวิตประจำวัน
ความเกี่ยวข้อง,ความเกี่ยวข้อง,ความเกี่ยวข้อง,ความเกี่ยวข้อง
วิธีพิจารณาความอาญา,วิธีพิจารณาความอาญา,วิธี พิจารณา ความ อาญา,วิธี พิจารณา ความ อาญา
อีหลุกขลุกขลุ่ย,อีลูกครุย,อี ลูก ครุย,อีหลุกขลุกขลุ่ย
ปรับปรุงระเบียบกฎหมายเพื่อเอื้อต่อการทำธุรกิจ,ปรับปรุงระเบียบกฎหมายเพื่อเอื้อต่อการทำธุรกิจ,ปรับปรุง ระเบียบ กฎหมาย เพื่อ เอื้อ ต่อ การ ทำ ธุรกิจ,ปรับปรุง ระเบียบ กฎหมาย เพื่อ เอื้อ ต่อ การ ทำ ธุรกิจ
โสตทัศนูปกรณ์,โสตทัศนูปกรณ์,โสตทัศนูปกรณ์,โสตทัศนูปกรณ์
ลดขั้นตอนที่ยุ่งยากเกินความจำเป็น,ลดขั้นตอนที่ยุ่งยากเกินความจำเป็น,ลดขั้น ตอนที่ ยุ่งยาก เกินความจำเป็น,ลดขั้น ตอนที่ ยุ่งยาก เกินความจำเป็น
ในการพัฒนาพลังงาน,ในการพัฒนาพลังงาน,ใน การพัฒนา พลังงาน,ใน การพัฒนา พลังงาน
พี่ไปส่งผมไหมล่ะ,พี่ไปส่งผมไหมล่ะ,พี่ ไป ส่ง ผม ไหม ล่ะ,พี่ ไป ส่ง ผม ไหม ล่ะ
สักวันหนึ่งนันทนาวีระชน,สักวันหนึ่งนันทนาวีรชน,สักวันหนึ่ง นันท นา วีรชน,สักวันหนึ่ง นันท นา วีระ ชน
ขุนแผนผ่าท้องนางลาวทองเอาลูกมาทำกุมารทอง,คุณแผ่นผ้าทองนางเหล่าทองเอาลูกมาทำกุมารทอง,คุณ แผ่น ผ้า ทอง นาง เหล่า ทอง เอา ลูก มา ทำ กุมาร ทอง,ขุนแผน ผ่า ท้อง นาง ลาว ทอง เอา ลูก มา ทำ กุมาร ทอง
ฉันได้รับบางสิ่ง,ฉันได้รับบางสิ่ง,ฉัน ได้รับ บางสิ่ง,ฉัน ได้รับ บางสิ่ง
เกรซแต่งหน้าเพราะเธอไม่สวย,กริสน์แต่งหน้าเพราะเธอไม่สวย,ก ริ สน ์ แต่งหน้า เพราะ เธอ ไม่ สวย,เก รซ แต่งหน้า เพราะ เธอ ไม่ สวย
ฝูงนกขนนกรวมกัน,ฝูงนกขนนกร่วมกัน,ฝูง นก ขนนก ร่วมกัน,ฝูง นก ขนนก รวมกัน
เขียนบัญชีของคลังสินค้าจนถึงสตางค์สุดท้าย,เขียนบัญชีของคลังสินค้าจนถึงสตางค์สุดท้าย,เขียน บัญชี ของ คลังสินค้า จนถึง สตางค์ สุดท้าย,เขียน บัญชี ของ คลังสินค้า จนถึง สตางค์ สุดท้าย
ตอนนี้พอร์ตกองทุนไม่มีเวลาเอาออกฉิบหายไปแล้วเรียบร้อย,ตอนนี้พอกองทุนไม่มีเวลาเอาออกSHIPหายไปแล้วเรียบร้อย,ตอนนี้ พอ กองทุน ไม่ มี เวลา เอา ออก SHIP หาย ไป แล้ว เรียบร้อย,ตอนนี้ พอร์ต กองทุน ไม่ มี เวลา เอา ออก ฉิบหาย ไป แล้ว เรียบร้อย
และรวดเร็ว,และรวดเร็ว,และ รวดเร็ว,และ รวดเร็ว
สวนทางสายรุ้งเพ็ญแขวงศ์สง่า,ส่วนทางสายรุ้งเพ็ญแขวงสนา,ส่วน ทาง สายรุ้ง เพ็ญ แขวง ส นา,สวนทาง สายรุ้ง เพ็ญ แข วงศ์ สง่า
โดยกำหนดกลไกการดำเนินงานที่รัดกุม,โดยกำหนดกลไกการดำเนินงานที่รัดกุม,โดย กำหนด กลไก การ ดำเนินงาน ที่ รัดกุม,โดย กำหนด กลไก การ ดำเนินงาน ที่ รัดกุม
ของเด็กแต่ละคนให้ได้รับการส่งเสริม,ของเด็กแต่ละคนให้ได้รับการส่งเสริม,ของ เด็ก แต่ละคน ให้ ได้รับ การ ส่งเสริม,ของ เด็ก แต่ละคน ให้ ได้รับ การ ส่งเสริม
วิวาห์อาฆาตลักษณ์โรจนา,VIVAอ่ะค่าหลักรจนา,VIVA อ่ะ ค่า หลัก รจนา,วิวาห์ อาฆาต ลักษณ์ โรจ นา
ผู้แทนจำหน่าย,ตัวแทนจำหน่าย,ตัวแทนจำหน่าย,ผู้แทนจำหน่าย
นอนกี่โมงคะ,นอนกี่โมงคะ,นอน กี่ โมง คะ,นอน กี่ โมง คะ
สัตว์เลี้ยงลูกด้วยนม,สัตว์เลี้ยงลูกด้วยนม,สัตว์เลี้ยงลูกด้วยนม,สัตว์เลี้ยงลูกด้วยนม
โปร่งใส,คลองไทร,คลอง ไทร,โปร่งใส
โดยจัดให้มีมาตรการระบบเทคโนโลยีนวัตกรรม,โดยจัดให้มีมาตรการระบบเทคโนโลยีนวัตกรรม,โดย จัด ให้ มี มาตรการ ระบบ เทคโนโลยี นวัตกรรม,โดย จัด ให้ มี มาตรการ ระบบ เทคโนโลยี นวัตกรรม
พรมน้ำมนต์ดีกรี,พรมน้ำมนต์ดีครีม,พรม น้ำมนต์ ดี ครีม,พรม น้ำมนต์ ดีกรี
เชือกผูกรองเท้า,เชือกผูกรองเท้า,เชือกผูกรองเท้า,เชือกผูกรองเท้า
ดูเวลาชายชรากล่าว,ดูเวลาชายชรากล่าว,ดู เวลา ชาย ชรา กล่าว,ดู เวลา ชาย ชรา กล่าว
ลดกระหน่ำโควิดเซลส์,ลดกระหน่ำโควิดเซลล์,ลด กระหน่ำ โควิด เซลล์,ลด กระหน่ำ โควิด เซลส์
เฮฮาเมียนาวีนันทนาวีระชน,อีห่ามีอนาทวีนันทนาวีรชน,อี ห่า มี อ นา ทวี นันท นา วีรชน,เฮฮา เมีย นาวี นันท นา วีระ ชน
ลูกเล็กเด็กแดง,ลูกเล็กเด็กแดง,ลูกเล็กเด็กแดง,ลูกเล็กเด็กแดง
แสนซนเทพเทวี,แสงซนทีวี,แสง ซน ทีวี,แสน ซน เทพ เทวี
ความสัตย์จริง,ความชัดจริง,ความ ชัด จริง,ความสัตย์จริง
ผู้มีชื่อเสียง,ผู้มีชื่อเสีย,ผู้ มี ชื่อเสีย,ผู้มีชื่อเสียง
กินสี่จ่ายสาม,กินสี่จ่ายสาม,กิน สี่ จ่าย สาม,กิน สี่ จ่าย สาม
จัดทำแนวทางการกำหนดสิทธิการจัดการสิทธิ,จัดทำแนวทางการกำหนดสิทธิการจัดการสิทธิ,จัดทำ แนว ทางการ กำหนด สิทธิ การ จัดการ สิทธิ,จัดทำ แนว ทางการ กำหนด สิทธิ การ จัดการ สิทธิ
กรอกเลขสิบสามหลัก,กรอกเลขสิบสามหลัก,กรอก เลข สิบ สาม หลัก,กรอก เลข สิบ สาม หลัก
ยักษ์ปักหลั่น,ยังปักหลัง,ยัง ปัก หลัง,ยักษ์ปักหลั่น
พระประยูรวงศ์,พระอัยยูรวงศ์,พระ อัย ยู รวง ศ์,พระประยูรวงศ์
การขับเคลื่อนยุทธศาสตร์ชาติ,การขับเคลื่อนยุทธศาสตร์ชาติ,การ ขับเคลื่อน ยุทธศาสตร์ ชาติ,การ ขับเคลื่อน ยุทธศาสตร์ ชาติ
ศาลภาษีอากรกลาง,ศาลภาษีอากรกลาง,ศาลภาษีอากรกลาง,ศาลภาษีอากรกลาง
แสงเงารักดวงตะวัน,แสงเงารักดวงตะวัน,แสง เงา รัก ดวงตะวัน,แสง เงา รัก ดวงตะวัน
อยู่ในเส้นทาง,อยู่ในเส้นทาง,อยู่ในเส้นทาง,อยู่ในเส้นทาง
ถ้าแอปหมอไม่พร้อมให้โทรสายด่วนแทน,แอบหมอไม่พร้อมให้โทรสายด่วนแทน,แอบ หมอ ไม่ พร้อม ให้ โทร สายด่วน แทน,ถ้า แอ ป หมอ ไม่ พร้อม ให้ โทร สายด่วน แทน
กระทรวงคมนาคม,กระทรวงคมนาคม,กระทรวงคมนาคม,กระทรวงคมนาคม
เครื่องมือวัด,เครื่องมือวัด,เครื่องมือวัด,เครื่องมือวัด
จากภูมิปัญญาในการแปรรูปมาเพิ่มมูลค่าผลิตภัณฑ์,จากภูมิปัญญาในการแปรรูปมาเพิ่มมูลค่าผลิตภัณฑ์,จาก ภูมิปัญญา ใน การ แปรรูป มา เพิ่ม มูลค่า ผลิตภัณฑ์,จาก ภูมิปัญญา ใน การ แปรรูป มา เพิ่ม มูลค่า ผลิตภัณฑ์
เกี๊ยวปูหมูแดงสองถุงแยกน้ำด้วย,เคี้ยวปูหมูแดงสองถุงแยกน้ำด้วย,เคี้ยว ปู หมูแดง สอง ถุง แยก น้ำ ด้วย,เกี๊ยว ปู หมูแดง สอง ถุง แยก น้ำ ด้วย
จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก,จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก,จัดการ และ พัฒนา ทรัพยากร น้ำ ภาค ตะวันออก,จัดการ และ พัฒนา ทรัพยากร น้ำ ภาค ตะวันออก
ฮานาเลกีรติชนา,ทะเลกีรติฉะนั้น,ทะเล กีรติ ฉะนั้น,ฮา นา เล กีรติ ชนา
เภสัชกรอธิบายการกินยาแต่ละตัวรวมถึงการเก็บรักษายา,เภสัชกรอธิบายการกินยาแต่ละตัวรวมถึงการเก็บรักษาญาญ่า,เภสัชกร อธิบาย การ กิน ยา แต่ละ ตัว รวมถึง การ เก็บรักษา ญาญ่า,เภสัชกร อธิบาย การ กิน ยา แต่ละ ตัว รวมถึง การ เก็บรักษา ยา
ต้องแสงสุริยาจะอาสัญ,ต้องแสงสุริยาจะARSON,ต้อง แสง สุริยา จะ ARSON,ต้อง แสง สุริยา จะ อาสัญ
ศักดินาคือคนกินหมาก,ศักดินาคือคนกินมาก,ศักดินา คือ คน กิน มาก,ศักดินา คือ คน กิน หมาก
เพื่อการพัฒนาประเทศ,เพื่อการพัฒนาประเทศ,เพื่อ การพัฒนา ประเทศ,เพื่อ การพัฒนา ประเทศ
สกุลกาบุษยมาส,ชักกุญแจบุษยมาศ,ชัก กุญแจ บุษย มาศ,สกุล กา บุษยมาส
เราหวังว่าฉันจะถูก,เราหวังว่าฉันจะถูก,เรา หวัง ว่า ฉัน จะ ถูก,เรา หวัง ว่า ฉัน จะ ถูก
รูปสี่เหลี่ยมด้านขนาน,รูปสี่เหลี่ยมด้านขนาน,รูปสี่เหลี่ยมด้านขนาน,รูปสี่เหลี่ยมด้านขนาน
ยายกินลำไยน้ำลายยายไหลย้อย,ยายกินลำไยน้ำลายยายไหลย้อย,ยาย กิน ลำไย น้ำลาย ยาย ไหล ย้อย,ยาย กิน ลำไย น้ำลาย ยาย ไหล ย้อย
สองเรานันทนาวีระชน,สองเรานันทนาวีรชน,สอง เรา นันท นา วีรชน,สอง เรา นันท นา วีระ ชน
ความคิดริเริ่ม,ความคิดริเริ่ม,ความคิดริเริ่ม,ความคิดริเริ่ม
ร็อกกี้เฟลเลอร์,ร็อคกี้เฟลเลอร์,ร็อค กี้ เฟล เลอ ร์,ร็อกกี้เฟลเลอร์
ที่เป็นประโยชน์ต่อการพัฒนา,ที่เป็นประโยชน์ต่อการพัฒนา,ที่ เป็นประโยชน์ ต่อ การพัฒนา,ที่ เป็นประโยชน์ ต่อ การพัฒนา
สวัสดิการชุมชน,สวัสดิการชุมชน,สวัสดิการ ชุมชน,สวัสดิการ ชุมชน
ถึงพริกถึงขิง,ถึงพริกถึงขิง,ถึงพริกถึงขิง,ถึงพริกถึงขิง
เพราะเหตุอะไร,เพราะเหตุอะไร,เพราะเหตุอะไร,เพราะเหตุอะไร
กฎหมายแพ่งและพาณิชย์,กฎหมายแพ่งและพาณิชย์,กฎหมายแพ่ง และ พาณิชย์,กฎหมายแพ่ง และ พาณิชย์
คำร้องของโจทก์เป็นการขอให้ศาล,คำร้องของโจทก์เป็นการขอให้ศาล,คำร้อง ของ โจทก์ เป็นการ ขอให้ ศาล,คำร้อง ของ โจทก์ เป็นการ ขอให้ ศาล
มาตรฐานแรงงาน,มาตรฐานแรงงาน,มาตรฐานแรงงาน,มาตรฐานแรงงาน
เข้าใจว่า,เข้าใจว่า,เข้าใจ ว่า,เข้าใจ ว่า
ที่จอดรถประจำทาง,ที่จอดรถประจำทาง,ที่จอดรถประจำทาง,ที่จอดรถประจำทาง
ตื่นมาเจอข่าวโคบี้งงเลย,ตื่นมาเจอข่าวโคBEงงเลย,ตื่น มา เจอ ข่าว โค BE งง เลย,ตื่น มา เจอ ข่าว โค บี้ งง เลย
คุ้มครองรักษา,คุ้มครองรักษา,คุ้มครองรักษา,คุ้มครองรักษา
การคัดแยกขยะตั้งแต่ต้นทาง,การคัดแยกขยะตั้งแต่ต้นทาง,การ คัดแยก ขยะ ตั้งแต่ ต้นทาง,การ คัดแยก ขยะ ตั้งแต่ ต้นทาง
โดยกระจายชนิดของเชื้อเพลิงทั้งจากฟอสซิล,โดยกระจายชนิดของเชื้อเพลิงทั้งจากออสติน,โดย กระจาย ชนิด ของ เชื้อเพลิง ทั้ง จาก ออ สติ น,โดย กระจาย ชนิด ของ เชื้อเพลิง ทั้ง จาก ฟอสซิล
สูตรเสน่หากิ่งฉัตร,สูตรเสน่หากิ่งฉัตร,สูตร เสน่หา กิ่ง ฉัตร,สูตร เสน่หา กิ่ง ฉัตร
สามารถตอบสนองต่อ,สามารถตอบสนองต่อ,สามารถ ตอบสนอง ต่อ,สามารถ ตอบสนอง ต่อ
หน้ากากดอกซ่อนกลิ่นแก้วเก้า,หน้ากากดอกซ่อนกลิ่นแก้วแก้ว,หน้ากาก ดอก ซ่อนกลิ่น แก้ว แก้ว,หน้ากาก ดอก ซ่อนกลิ่น แก้ว เก้า
แต่ไก่มันเหมือนทอดด้วยกลิ่นบางอย่าง,ถ้าไก่มันเหมือนทอดด้วยกลิ้งบางอย่าง,ถ้า ไก่ มัน เหมือน ทอด ด้วย กลิ้ง บางอย่าง,แต่ ไก่ มัน เหมือน ทอด ด้วย กลิ่น บางอย่าง
ฉันสงสารเธอมาโดยตลอดไม่เคยมากเท่าตอนนี้มาก่อน,ฉันสงสารเธอมาดูตลอดไม่เคยมากเท่าตอนนี้มาก่อน,ฉัน สงสาร เธอ มา ดู ตลอด ไม่ เคย มาก เท่า ตอนนี้ มา ก่อน,ฉัน สงสาร เธอ มาโดยตลอด ไม่ เคย มาก เท่า ตอนนี้ มา ก่อน
รางวัลสำหรับการเข้าร่วมไม่มีค่าเลยในความคิดเห็นของฉัน,รางวัลสำหรับการเข้าร่วมไม่มีค่าเลยในความคิดเห็นของฉัน,รางวัล สำหรับ การ เข้าร่วม ไม่ มีค่า เลย ใน ความคิดเห็น ของ ฉัน,รางวัล สำหรับ การ เข้าร่วม ไม่ มีค่า เลย ใน ความคิดเห็น ของ ฉัน
วิวาห์อลวนวลัยนวาระ,VIVAอลวนหัวไหล่วาระ,VIVA อลวน หัวไหล่ วาระ,วิวาห์ อลวน วลัย นวาระ
สาธารณสุขชุมชน,สาธารณสุขชุมชน,สาธารณสุข ชุมชน,สาธารณสุข ชุมชน
การประชุมสุดยอด,การประชุมสุดยอด,การประชุมสุดยอด,การประชุมสุดยอด
ลูกหนี้ชั้นต้น,ลูกหนี้ชั้นต้น,ลูกหนี้ชั้นต้น,ลูกหนี้ชั้นต้น
โดยเฉพาะการยกระดับคุณภาพ,โดยเฉพาะการยกระดับคุณภาพ,โดยเฉพาะ การ ยกระดับ คุณภาพ,โดยเฉพาะ การ ยกระดับ คุณภาพ
อินเตอร์เฟียรอน,อินเตอร์FEDERAL,อินเตอร์ FEDERAL,อินเตอร์เฟียรอน
พระบาทสมเด็จพระมหาภูมิพลอดุลยเดชมหาราชบรมนาถบพิตร,พระบาทสมเด็จพระมหาภูมิพลดุลยเดชมหาราชบรมนาถบพิตร,พระ บาท สมเด็จ พระ มหา ภูมิพล ดุลย เดช มหาราช บรม นาถ บพิตร,พระ บาท สมเด็จ พระ มหา ภูมิพล อดุลยเดช มหาราช บรม นาถ บพิตร
จุดตรวจคนเข้าเมืองอยู่ที่ชั้นหนึ่ง,จุดตรวจคนเข้าเมืองอยู่ที่ชั้นหนึ่ง,จุด ตรวจ คนเข้าเมือง อยู่ ที่ ชั้นหนึ่ง,จุด ตรวจ คนเข้าเมือง อยู่ ที่ ชั้นหนึ่ง
บูรณาการ,บูรณาการ,บูรณาการ,บูรณาการ
แบ็กสตรีทบอยส์,MAXSPEEDบ่อย,MAXSPEED บ่อย,แบ็กสตรีทบอยส์
ศาลคดีเด็กและเยาวชน,ศาลคดีเด็กและเยาวชน,ศาลคดีเด็กและเยาวชน,ศาลคดีเด็กและเยาวชน
ที่คำนึงถึงศักยภาพของครอบครัว,ที่คำนึงถึงศักยภาพของครอบครัว,ที่ คำนึงถึง ศักยภาพ ของ ครอบครัว,ที่ คำนึงถึง ศักยภาพ ของ ครอบครัว
เอาไม้สั้นไปรันขี้,เอามาให้สั้นไปรันขี่,เอา มา ให้ สั้น ไป รัน ขี่,เอาไม้สั้นไปรันขี้
มีเรื่องมีราว,มีเรื่องมีแล้ว,มีเรื่อง มี แล้ว,มีเรื่องมีราว
เจ้าสิงโตโบริสร้องไห้เหมือนลาตัวหนึ่ง,เจ้าสิงโตPOLISHร้องไห้เหมือนล่าตัวหนึ่ง,เจ้า สิงโต POLISH ร้องไห้ เหมือน ล่า ตัว หนึ่ง,เจ้า สิงโต โบ ริ ส ร้องไห้ เหมือน ลา ตัว หนึ่ง
ขึ้นทางด่วน,ขึ้นทางด่วน,ขึ้น ทางด่วน,ขึ้น ทางด่วน
คนรู้จักออกจากงานกันเยอะ,คนกรุงจากออกจากงานกันเยอะ,คนกรุง จาก ออกจากงาน กัน เยอะ,คนรู้จัก ออกจากงาน กัน เยอะ
ด้วยการสอนในเชิงแสดงความคิดเห็น,ด้วยการสอนในเชิงแสดงความคิดเห็น,ด้วย การสอน ใน เชิง แสดงความคิดเห็น,ด้วย การสอน ใน เชิง แสดงความคิดเห็น
น้ำยาล้างจานเจ็ดขวด,น้ำยาล้างจานเจ็ดขวด,น้ำยาล้างจาน เจ็ด ขวด,น้ำยาล้างจาน เจ็ด ขวด
ท้องคัดท้องแข็ง,ท้องคัดท้องแข็ง,ท้องคัดท้องแข็ง,ท้องคัดท้องแข็ง
หม่อมเจ้าสุริยกานต์วลัยนวาระ,หม่อมเจ้าสุริยกานต์วาไรNAVARA,หม่อมเจ้า สุริยกานต์ วา ไร NAVARA,หม่อมเจ้า สุริยกานต์ วลัย นวาระ
อลังการศาสตร์,อลังกาลสาด,อ ลัง กาล สาด,อลังการศาสตร์
การมีจิตสาธารณะ,การมีจิตสาธารณะ,การ มี จิต สาธารณะ,การ มี จิต สาธารณะ
การสาธารณสุข,การสาธารณสุข,การสาธารณสุข,การสาธารณสุข
เขาสั่นคลอนด้วยความกังวล,เขาสั่งคลอนด้วยความกังวล,เขา สั่ง คลอน ด้วย ความกังวล,เขา สั่นคลอน ด้วย ความกังวล
พรรคเพื่อคนไทย,พรรคเพื่อคนไทย,พรรคเพื่อคนไทย,พรรคเพื่อคนไทย
อมฤตาลัยจินตวีร์วิวัธน์,AMERICANLIFEจึงทวีวิวัฒน์,AMERICANLIFE จึง ทวี วิวัฒน์,อมฤตาลัย จินต วีร ์ วิ วัธน์
เคนขอคืนคำขอบคุณของเขา,เคนขอคืนคำขอบคุณของเขา,เคน ขอ คืน คำขอบคุณ ของ เขา,เคน ขอ คืน คำขอบคุณ ของ เขา
ตัดช่องย่องเบา,ตัดช่องย่องเบา,ตัดช่องย่องเบา,ตัดช่องย่องเบา
ดึกแล้วลงรูปได้,ดึกแล้วลงรูปได้,ดึก แล้ว ลง รูป ได้,ดึก แล้ว ลง รูป ได้
เรี่ยมเร้เรไร,เรี่ยมเร้มีอะไร,เรี่ยมเร้ มี อะไร,เรี่ยมเร้เรไร
สิ้นกระแสชลนทีทม,ชิงกระแสชนหน้าที่ถม,ชิง กระแส ชน หน้าที่ ถม,สิ้น กระแส ชล นที ทม
เพื่อยังคงเอกลักษณ์ของเมืองหลวงแห่งร้านอาหารริมถนน,เพื่อยังคงเอกลักษณ์ของเมืองหลวงแห่งร้านอาหารริมถนน,เพื่อ ยังคง เอกลักษณ์ ของ เมืองหลวง แห่ง ร้านอาหาร ริมถนน,เพื่อ ยังคง เอกลักษณ์ ของ เมืองหลวง แห่ง ร้านอาหาร ริมถนน
รวมทั้งลงโทษผู้ละเมิดบรรทัดฐานที่ดีทางสังคม,รวมทั้งลงโทษผู้ละเมิดบรรทัดฐานที่ดีทางสังคม,รวมทั้ง ลงโทษ ผู้ละเมิด บรรทัดฐาน ที่ ดี ทางสังคม,รวมทั้ง ลงโทษ ผู้ละเมิด บรรทัดฐาน ที่ ดี ทางสังคม
หน้าเนื้อใจเสือ,หน้าเนื้อใจเสือ,หน้าเนื้อใจเสือ,หน้าเนื้อใจเสือ
ของแอปเรียกแท็กซี่คือแท็กซี่จะได้ไม่ต้องเรื่องมากเห็นที่หมายจะได้ไปที่ชอบที่ชอบอินี่ก็แบบ,ของแอบเรียกแท๊กซี่คือแท๊กซี่จะได้ไม่ต้องเรื่องมากเห็นที่หมายจะได้ไปที่ชอบที่ชอบที่นี่ก็แบบ,ของ แอบ เรียก แท๊กซี่ คือ แท๊กซี่ จะ ได้ ไม่ต้อง เรื่องมาก เห็น ที่หมาย จะ ได้ ไป ที่ ชอบ ที่ ชอบ ที่นี่ ก็ แบบ,ของ แอ ป เรียก แท็กซี่ คือ แท็กซี่ จะ ได้ ไม่ต้อง เรื่องมาก เห็น ที่หมาย จะ ได้ ไป ที่ ชอบ ที่ ชอบ อิ นี่ ก็ แบบ
ล่าสุดฟูดแลนด์ปิดโซนเหล้ากับพวกทำความสะอาดบ้านงงมาก,ล่าสุดฟู้ดแลนด์ปิดโซนเหล้ากับพวกทำความสะอาดบ้านงงมาก,ล่าสุด ฟู้ด แลนด์ ปิด โซน เหล้า กับ พวก ทำความสะอาด บ้าน งง มาก,ล่าสุด ฟูด แลนด์ ปิด โซน เหล้า กับ พวก ทำความสะอาด บ้าน งง มาก
เขาเดือด,เข้าเดือน,เข้าเดือน,เขา เดือด
สั่งฟิลเตอร์รอเลยฝุ่นแบบนี้ฟิลเตอร์ไปเร็ว,สั่งFILTERรอเลยคนแบบนี้FILTERไปเร็ว,สั่ง FILTER รอ เลย คน แบบนี้ FILTER ไป เร็ว,สั่ง ฟิลเตอร์ รอ เลย ฝุ่น แบบนี้ ฟิลเตอร์ ไป เร็ว
ความขยันหมั่นเพียรเป็นแม่ของโชคดี,ความขยันหมั่นเพียรเป็นแม่ของโชคดี,ความ ขยันหมั่นเพียร เป็น แม่ ของ โชคดี,ความ ขยันหมั่นเพียร เป็น แม่ ของ โชคดี
เพื่อกระจายโอกาสทางเศรษฐกิจให้คนในชุมชน,เพื่อกระจายโอกาสทางเศรษฐกิจให้คนในชุมชน,เพื่อ กระจาย โอกาส ทางเศรษฐกิจ ให้ คนใน ชุมชน,เพื่อ กระจาย โอกาส ทางเศรษฐกิจ ให้ คนใน ชุมชน
ด้วยใจนิยมบูชา,โดยใจนิยมบูชา,โดย ใจ นิยม บูชา,ด้วยใจ นิยม บูชา
จังหวะตะลุงเน้นความมีชีวิตชีวายั่วเย้าหยอกล้อล่อหลอก,จังหวะลุงเน้นความมีชีวิตชีวายั่วเย้าหยอกล้อลล,จังหวะ ลุง เน้น ความมีชีวิตชีวา ยั่วเย้า หยอกล้อ ลล,จังหวะ ตะลุง เน้น ความมีชีวิตชีวา ยั่วเย้า หยอกล้อ ล่อหลอก
ความเป็นเหตุเป็นผล,ความเป็นเหตุเป็นผล,ความเป็นเหตุเป็นผล,ความเป็นเหตุเป็นผล
หรือเครื่องมือทางการเงินสมัยใหม่,หรือเครื่องมือทางการเงินสมัยใหม่,หรือ เครื่องมือ ทางการเงิน สมัยใหม่,หรือ เครื่องมือ ทางการเงิน สมัยใหม่
โดยเฉพาะที่เกี่ยวกับการพัฒนาธุรกิจนวัตกรรมขั้นสูง,โดยเฉพาะที่เกี่ยวกับการพัฒนาธุรกิจนวัตกรรมขั้นสูง,โดย เฉพาะที่ เกี่ยวกับ การพัฒนา ธุรกิจ นวัตกรรม ขั้นสูง,โดย เฉพาะที่ เกี่ยวกับ การพัฒนา ธุรกิจ นวัตกรรม ขั้นสูง
ครึ้มฟ้าครึ้มฝน,ครึ้มฟ้าครึ้มฝน,ครึ้มฟ้าครึ้มฝน,ครึ้มฟ้าครึ้มฝน
พี่คนนี้ครับ,ที่คนนี้ครับ,ที่ คน นี้ ครับ,พี่ คน นี้ ครับ
เข้าร่องเข้ารอย,เข้าร่องเข้ารอย,เข้าร่องเข้ารอย,เข้าร่องเข้ารอย
แต่ในช่วงปีที่ผ่านมา,แต่ในช่วงปีที่ผ่านมา,แต่ ใน ช่วง ปี ที่ผ่านมา,แต่ ใน ช่วง ปี ที่ผ่านมา
แต่พอซื้อแบบกลับบ้านก็อ๊ะยังไม่ได้กลับบ้านไง,แต่พอซื้อแบบกลับบ้านก็ยังไม่ได้กลับบ้านไง,แต่ พอ ซื้อ แบบ กลับบ้าน ก็ ยัง ไม่ ได้ กลับบ้าน ไง,แต่ พอ ซื้อ แบบ กลับบ้าน ก็ อ๊ะ ยัง ไม่ ได้ กลับบ้าน ไง
รู้น้อยพลอยรำคาญ,รู้น้อยพลอยรำคาญ,รู้น้อยพลอยรำคาญ,รู้น้อยพลอยรำคาญ
ชั่วครู่ชั่วยาม,ชั่วครู่ชั่วอย่าง,ชั่วครู่ ชั่ว อย่าง,ชั่วครู่ชั่วยาม
ลูกคนเดียวไม่เข้าใจความรู้สึกของการโดนเปรียบเทียบ,ลูกคนเดียวไม่เข้าใจความรู้สึกของการโดนเปรียบเทียบ,ลูก คนเดียว ไม่ เข้าใจ ความรู้สึก ของ การ โดน เปรียบเทียบ,ลูก คนเดียว ไม่ เข้าใจ ความรู้สึก ของ การ โดน เปรียบเทียบ
พร้อมทั้งปรับเปลี่ยนระบบการบริหารราชการแผ่นดิน,พร้อมทั้งปรับเปลี่ยนระบบการบริหารราชการมันPENDING,พร้อมทั้ง ปรับเปลี่ยน ระบบ การบริหาร ราชการ มัน PENDING,พร้อมทั้ง ปรับเปลี่ยน ระบบ การบริหาร ราชการ แผ่นดิน
มันก็โอเคอยู่,มันก็โอเคอยู่,มัน ก็ โอเค อยู่,มัน ก็ โอเค อยู่
การกู้เงินซึ่งการใช้เครื่องมือทางการเงินดังกล่าว,การกู้เงินซึ่งการใช้เครื่องมือทางการเงินดังกล่าว,การกู้เงิน ซึ่ง การ ใช้ เครื่องมือ ทางการเงิน ดังกล่าว,การกู้เงิน ซึ่ง การ ใช้ เครื่องมือ ทางการเงิน ดังกล่าว
