sentence,pred_sentence_tok
มันน่าจะดีที่จะโฆษณาสำหรับมัน,มัน น่าจะดี ที่จะ โฆษณา สำหรับ มัน
หมาป่าเลยถอดใจ ไปกินหนูน้อยหมวกแดงก็ได้,หมา ป่า เลย ถอดใจ   ไป กิน หนู น้อย หมวก แดง ก็ได้
เห็ดตับเต่าขาว,เห็ดตับเต่า เขา
ช็อกเลย มาจนถึงเคาน์เตอร์แล้วอะ จะมาดรอปเป๋า,ช็อค เลย   มา จนถึง เคาน์เตอร์ แล้ว ล่ะ   จะ มา ดอก เปา
ธงสีแดง น้ำเงิน และเหลือง,ธง สีแดง   น้ำเงิน   และ เหลือง
สถานที่ประกอบการ,สถานที่ประกอบการ
เขียวหัวจิ้งจก,เขียว หัว จิ้งจก
หนักมาก,หนัก มาก
สังคมที่สอดคล้องกับความต้องการของประชาชน,สังคม ที่ สอดคล้อง กับ ความต้องการ ของ ประชาชน
ฮาร์ดดิสก์หยุดทำงาน,ฮาร์ดดิสก์ หยุด ทำงาน
สอดคล้องกับภูมิศาสตร์ ทรัพยากร ในพื้นที่,สอดคล้อง กับ ภูมิศาสตร์ ทรัพยากร ใน พื้นที่
ซัลเฟอร์ไดออกไซด์,ไซาเฟอร์ ไดออกไซด์
มากมายก่ายกอง,มากมาย ก่าย กอง
ถึงชีพิตักษัย,ถึงชีพิตักษัย
พยอม หนูสูงเนิน,พะยอม หนู สูง เนิน
ชามทองแดงส่องแสงกับพระอาทิตย์,ชาม ทองแดง ส่องแสง กับ พระอาทิตย์
การพักผ่อนหย่อนใจ,การพักผ่อนหย่อนใจ
ศิลปศาสตรมหาบัณฑิต,ศิลปศาสตร มหาบัณฑิต
บรรจุของลงลังไม้สี่เหลี่ยมจัตุรัสเพื่อส่ง,บรรจุ ของ ลงลัง ไม้ สี่เหลี่ยมจัตุรัส เพื่อ ส่ง
เพื่อให้มีเม็ดเงินเข้าสู่ระบบเศรษฐกิจโดยเร็ว,เพื่อให้ มี เม็ด เงิน เข้าสู่ ระบบเศรษฐกิจ โดยเร็ว
ลดความแออัดในโรงพยาบาลขนาดใหญ่,ลด ความ แออัด ใน โรงพยาบาล ขนาดใหญ่
รวมทั้งปลูกฝังคุณธรรมจริยธรรมที่จำเป็นในการดำเนินชีวิต,รวมทั้ง ปลูกฝัง คุณธรรม   จริยธรรม ที่ จำเป็น ใน การดำเนินชีวิต
จึงขอแก้ไขคำฟ้องตามข้อเท็จจริงดังกล่าว,จึง ขอ แก้ไข คำฟ้อง ตาม ข้อเท็จจริง ดังกล่าว
พัฒนาการทางประวัติศาสตร์,พัฒนาการ ทาง ประวัติศาสตร์
และเหมาะสมกับศักยภาพของแต่ละพื้นที่,และ เหมาะสม กับ ศักยภาพ ของ แต่ละ พื้นที่
อาจจะมีเพื่อนที่เช่าหออยู่ด้วยกัน,อาจจะ มี เพื่อน ที่ เช้าหอ อยู่ ด้วยกัน
เอารายการของคำมาเทียบดูด้วย และแบ่งตามรายการของคำ,เอา รายการ ของ คำ มา เทียบ ดู ด้วย   และ แบ่ง ตาม รายการ ของ คำ
ทำไม่ได้ง่าย,ทำ ไม่ ได้ ง่าย
สมัยนี้ปวกเปียกมาก,สมัยนี้ ปวก เปียก มาก
เมืองอัจฉริยะที่มีความน่าอยู่,เมือง อัจฉริยะ ที่ มี ความ น่าอยู่
หมูปิ้งห้าไม้ ข้าวเหนียวสองห่อ,หมู ปิ้ง ห้า ไหม   เขา เหนียว สอง คอ
ใช้งานมาแล้วหลายปี,ใช้ งาน มา แล้ว หลาย ปี
สุทินน์กลันทบุตรกราบทูลว่า ยังไม่ได้อนุญาต พระพุทธเจ้าข้า,สุ ทินกลันท บุต กราบทูน ว่า ยัง ไม่ ได้ อนุญาต พระพุทธเจ้าข้า
พบว่าในช่วงปีที่ผ่านมา,พบ ว่า ใน ช่วง ปี ที่ผ่านมา
สวรรค์ในอกนรกในใจ,สวรรค์ ใน อก นรก ใน ใจ
ปรับเปลี่ยนการจัดสรรงบประมาณ,ปรับเปลี่ยน การจัดสรร งบประมาณ
เอนเตอร์เทนเมนต์,เอ็นเตอร์เทนเมนต์
ทางร่วมทางแยก,ทางร่วมทางแยก
มีเมมเบอร์ไหม,มี เมม เบอร์ ไหม
ร้านขายข้าวหน้าเป็ด มักจะขายหมูกรอบด้วย,ร้าน ขาย ข้าว หน้าเป็ด มักจะ ขาย หมู กรอบ ด้วย
แทบไม่มีคนออกมาเดินบนถนน,แทบ ไม่ มี คน ออกมา เดิน บน ถนน
พรชัย โลหิตดี,พร ชัย   โลหิต ดี
ขี้ริ้วขี้เหร่,ขี้ริ้วขี้เล
ในการเรียนการสอนออนไลน์แบบเปิดที่หลากหลาย,ใน การเรียน การสอน ออนไลน์ แบบ เปิด ที่ หลากหลาย
พะแนงไข่ตุ๋น,แพะแนง ไข่ตุ๋น
แอตแลนต้าเกมส์,แอตแลนต้า เกมส์
ความเชี่ยวชาญให้แก่บุคลากรในองค์กร,ความ เชี่ยวชาญ ให้ แก่ บุคลากร ใน องค์กร
ไม่มีความยากลำบากใดที่จะทำให้เขาเศร้า,ไม่ มี ความยากลำบาก ใด ที่จะ ทำให้ เขา เศร้า
พระราชจริยวัตร,พระราชจิริยวัต
สุดสายสวาท รจเรข,สุด สายสวาท   รจเรข
ที่เหมาะสมแก่การดำรงชีพ,ที่ เหมาะสม แก่ การดำรงชีพ
ย่านที่อยู่อาศัย,ย่าน ที่อยู่อาศัย
ควบคู่ไปกับการเพิ่มบทบาทของอาสาสมัคร,ควบคู่ ไป กับ การ เพิ่ม บทบาท ของ อาสาสมัคร
ให้สามารถรองรับความต้องการเดินทางเพื่อคนทั้งมวล,ให้ สามารถ รองรับ ความต้องการ เดินทาง เพื่อ คน ทั้งมวล
ไปรษณีย์อากาศ,ไปรษณีย์อากาศ
ช้างป่า มีสรรพนามเป็นตัว,ช้าง ป่า มี สัรพนาม เป็นตัว
โรงกลั่นน้ำมัน,โรง กลั่น น้ำมัน
สังเคราะห์แสง,สังเคราะห์แสง
นี่คือการลงโทษทางโลกที่ฉันได้ทำกับตัวเอง,นี่ คือ การ ลงโทษ ทางโลก ที่ ฉัน ได้ ทำ กับ ตัวเอง
งั้นมิสซี่ก็เป็นเรื่องที่เปราะบางและน่าเศร้าสำหรับคุณ,งั้น มิ ซี่ ก็ เป็นเรื่อง ที่ เปราะบาง และ น่าเศร้า สำหรับ คุณ
โรงเรียนประถม,โรงเรียนประถม
สองชีวิต ทมยันตี,สอง ชีวิต   ทม ยัน ตี
ปัจจุบันนี้ฟาร์มแกะมีการแข่งขันสูง,ปัจจุบันนี้ ฟาร์ม แกะ มี การแข่งขัน สูง
เครื่องสังเวย,เครื่องสังเวย
ด้านการปราบปรามอาชญากรรมพิเศษ,ด้าน การปราบปราม อาชญากรรม พิเศษ
เพื่อการพัฒนาภาคเกษตรได้อย่างมั่นคงต่อไปในอนาคต,เพื่อ การพัฒนา ภาค เกษตร ได้ อย่าง มั่นคง ต่อไป ในอนาคต
พญาหงส์แปลงองค์เป็นเหมราช,พญา ขง แปลงองค์ เป็น เหมราฎ
เพื่อนเราโอเคอยู่รึเปล่า,เพื่อน เรา โอเค อยู่ รึเปล่า
บะหมี่เกี๊ยว กลับบ้านสองห่อ,บะหมี่ เกี๊ยว กลับบ้าน สอง ห่อ
กำลังจะนอนสิ,กำลังจะ นอน สิ
หลงไฟ กฤษณา อโศกสิน,หลง ไฟ   ปริศณา   อโศก สิน
เพื่อเป็นรากฐาน,เพื่อ เป็น รากฐาน
บอกเบอร์ด้วยครับ,บอก เบอร์ ด้วย ครับ
และการท่องเที่ยวเชื่อมโยงกับประเทศเพื่อนบ้าน,และ การท่องเที่ยว เชื่อมโยง กับ ประเทศ เพื่อนบ้าน
เทศกิจมาอย่าไปกลัว ลงถนนแม่งเลย ยอมใจไก่ทอด,เทศกิจ มา อย่า ไป กลัว   ลง ถนน แม่ง เลย   ยอมใจ ไก่ทอด
ลักเล็กขโมยน้อย,ลัก เล็ก ขโมย น้อย
และเครื่องจักรอุปกรณ์ที่เกี่ยวข้อง,และ เครื่องจักร อุปกรณ์ ที่ เกี่ยวข้อง
สุดสายรุ้ง คีตาญชลี,สุด สายรุ้ง   คี ตาน ชลี
ฉันชอบไซรัปและแพนเค้ก,ฉัน ชอบ ไซรัป และ แพน เค้ก
ผู้พิพากษาสมทบ,ผู้พิพากษาสมทบ
ดุริยางคศาสตร์,ดุยางขศาสตร์
ทีละเล็กละน้อย,ทีละเล็กละน้อย
เฮดจ์ แอปเปิ้ลอาจจะทำให้มือของคุณเลอะสีเขียว,เฮ ช   แอปเปิ้ล อาจจะ ทำให้ มือ ของ คุณ เลอะ สี เขียว
วัยอลเวง ชลาลัย,ไวอนรเวน   ชลาลัย
มหาสมุทรแปซิฟิก,มหาสมุทร แปซิฟิก
เรานอนตื่นสาย เพราะเราไม่ต้องรีบไปจับหนอนตื่นเช้า,เรา นอน ตื่น สาย   เพราะ เรา ไม่ต้อง รีบ ไป จับ หนอน ตื่น เช้า
พระราชอัธยาศัย,พระราชอัธยาศัย
อวิญญาณกทรัพย์,อวิญญาณกทรัพย์
ความหนักหน่วง,ความหนักหน่วง
การตายโดยผิดธรรมชาติ,การตาย โดย ผิดธรรมชาติ
ซึ่งพบว่า เอ้อ กลุ่มนี้แฮะ,ซึ่ง พบ ว่า   เต ้อ กลุ่ม นี้ แฮะ
เหมือนคนละฟากฟ้า วาสนา,เหมือน คนละ ฟาก ฟ้า วาสนา
กระเบื้องดินเผา,กระเบื้องดินเผา
ไปรอไหนไม่ได้ งั้นเข้าห้างนั่งกินข้าวรอ,ไป รอ ไหน ไม่ ได้   นั้น เข้า ห้าม นั่ง กินข้าว หรอ
การขับรถบนถนนที่เต็มไปด้วยน้ำแข็งอาจจะทำให้ล้อรถหลุดจากการเกาะถนนได้อย่างง่ายดาย,การ ขับรถ ใน ถนน ที่ เต็มไปด้วย น้ำแข็ง   อาจจะ ทำให้ ลอ รถ หลุด จาก การ เกาะ ถนน ได้ อย่าง ง่ายดาย
โดยรัฐบาลได้กำหนดนโยบายการดำเนินการดังนี้,โดย รัฐบาล ได้ กำหนด นโยบาย การ ดำเนินการ ดังนี้
สืบเสาะและพินิจ,สืบเสอ และ พินิจ
นี่คือประสบการณ์ร่วมของพวกเราทุกคน,นี่ คือ ประสบการณ์ ร่วม ของ พวกเรา ทุกคน
ด่านชายแดนสำคัญ,ด่าน ชายแดน สำคัญ
พนักงานตรวจบัญชี,พนักงานตรวจ บัญชี
อายุการใช้งาน,อายุการใช้งาน
พิธีเจริญพระพุทธมนต์ วัดบรรพตวรวิหาร,พิธี เจริญ พระพุทธ มนต์   วัด บรรพต วรบิหาร
การผูกขาดศิลปะและวรรณคดีไว้ในมือชนกลุ่มน้อย,การ ผูกขาด ศิลปะ และ วรรณคดี ไว้ ใน มือ ชน กลุ่ม น้อย
อย่าลืมล้างมือ,อย่า ลืม ล้างมือ
เฮเลนมักจะหัวเราะอย่างสุภาพเสมอ,เฮเลน มักเจ้า หัวเราะ อย่าง สุภาพ เสมอ
พัฒนาการเชื่อมโยงแหล่งท่องเที่ยว,พัฒนาการ เชื่อมโยง แหล่งท่องเที่ยว
พัฒนาครู,พัฒนา ครู
ไพรัช จอมพรรษา,ไพ รัฐ   จอม พรรษา
เคาน์เตอร์รับเงิน,เคาน์เตอร์ รับเงิน
เสียงกระซิบจากริมหาด โสภาค สุวรรณ,เสียง กระซิบ จาก ริมหาด   โสภาค   สุวรรณ
ชายคนที่ใส่สเวตเตอร์สีฟ้านั่งที่โต๊ะตัวนั้น,ชาย คน ที่ ใส่ สเวต เตอร์ สี ฟ้า นั่ง ที่ โต๊ะ ตัว นั้น
เอาจริงเอาจัง,ออก จิงเอา จัง
การพัฒนาศักยภาพของคนไทยทุกช่วงวัย,การพัฒนา ศักยภาพ ของ คนไทย ทุก ช่วง วัย
เพื่อช่วยยกระดับคุณภาพชีวิต,เพื่อ ช่วย ยุกระดับ คุณภาพชีวิต
สุรศักดิ์มนตรี,สุรศักมนตรี
สถานีตำรวจนครบาลสำราญราษฎร์ ใกล้เสาชิงช้า,สถานีตำรวจ นครบาล สำราญราด ใกล้ เสา ชิ้นช้า
ชั่วเคี้ยวหมากจืด,ชั่วเคี้ยวหมากจืด
แบบถอดหน้ากากกินน้ำ,แบบ ถอน หน้ากาก กินน้ำ
เป็นองค์สุดาเยาวมาลย์,เป็น องค์ สุดา เยาวมาน
เก็บก่อนถ่าย,เก็บ กอนไทน์
พรรคประชากรไทย,พรรค ประชากรไทย
ข้าวสารข้าวเจ้า,ข้าวสารข้าวเจ้า
เพื่อการเกษตร,เพื่อ การเกษตร
ทุกคนเป็นกษัตริย์ในบ้านของเขาเอง,ทุกคน เป็น กษัตริย์ ใน บ้าน ของ เขา เอง
ใครเป็นคนคิดว่ามนุษย์ต้องตื่นตอนเช้า,ใคร เป็น คน คิด ว่า มนุษย์ ต้อง ตื่น ตอนเช้า
และที่ผ่านมาเราแต่ละคน,และ ที่ผ่านมา เรา แต่ละ คน
แค่นั่งคุยกันก็เหงื่อท่วมตัว,แช่ นั่ง คุย กัน ก็ เหงือ ท่วมตัว
สงครามเพื่อแย่งชิงแหล่งผูกขาดซึ่งกันและกัน,สงคราม เพื่อ แย่ง ชิง แหล่ง ผูกขาด ซึ่งกันและกัน
แดง ปวนมูล,แดง ปวน มูญ
ส่งข้าวส่งน้ำ,สง ข้าว ส่งน้ำ
และสนับสนุนอาชีพการทำประมงให้เกิดความยั่งยืน,และ สนับสนุน อาชีพ การ ทำประมง ให้เกิด ความยั่งยืน
ดึงดูดบุคคลที่มีความสามารถระดับสูงจากทั่วโลก,ดึงดูด บุคคล ที่ มี ความสามารถ ระดับสูง จาก ทั่วโลก
เพื่อสนับสนุนให้มีส่วนร่วมในการพัฒนา,เพื่อ สนับสนุน ให้ มีส่วน ร่วมใน การพัฒนา
ยากิโทริชุดห้าไม้,อยา กิ่ โทรี ชุด ห้า ไม้
คราวหน้าคราวหลัง,คราวหน้า คราวหลัง
เขาเป็นหมอที่ดีที่รักของฉัน,เขา เป็น หมอ ที่ ดี ที่รัก ของ ฉัน
การเสื่อมสภาพ,การเสื่อมสภาพ
เพื่อสร้างคนไทยที่มีพัฒนาการ,เพื่อ สร้าง คนไทย ที่ มี พัฒนาการ
สำนักงานเศรษฐกิจการเกษตร,สำนักงานเศรษฐกิจการเกษตร
รักษาผลประโยชน์,รักษา ผลประโยชน์
บีทีเอสปิดห้าทุ่มสี่สิบ เอ็มอาร์ทีไม่แน่ใจ แต่มันเดินไกลกว่า,วิที เอส ปิด ห้า ทุ่ม สี่ สิบ   เอ็มอาร์ที ไม่ แน่ใจ   แต่ มัน เดิน ไกล กว่า
ภาวิดา บุ๊ค,พา วิ ดา บุ๊ก
น่าเกลียดน่าชัง,น่าเกลียดน่าชัง
ความไม่แน่นอน,ความไม่แน่นอน
บรรจุสิบชิ้นต่อกล่อง,บรรจุ สิบ ชิ้น ต่อ กลอง
ให้สามารถอำนวยความยุติธรรมได้อย่างเป็นธรรม,ให้ สามารถ อำนวยความยุติธรรม ได้ อย่าง เป็นธรรม
มูลนิธิช่วยคนตาบอดแห่งประเทศไทย ในพระบรมราชินูปถัมภ์,มูลนิธิ ช่วย คนตาบอด แห่ง ประเทศ ไทย ใน พระบรมราชินูปถัมภ์
ไม้ล้มขอนนอนไพร,ไม้ ล้ม ขอน นอนไพร
พิณพาทย์เครื่องใหญ่,พิณพาทน์เครื่องใหญ่
เสียงบรรยาย,เสียงมรรยาย
ความบริสุทธิ์,ความบริสุทธิ์
ข้ามสถาบันการศึกษา,ข้าม สถาบันการศึกษา
ไม้ประกับคัมภีร์,ไม้ ประกับ คัมภีร์
อีกทั้งขึ้นอยู่กับช่วงชีวิตตอนนั้น,อีก ทั้ง ขึ้นอยู่กับ ช่วง ชีวิต ตอนนั้น
และสิ่งแวดล้อม,แนะ สิ่งแวดล้อม
ขยายผลระบบคุณวุฒิวิชาชีพ,ขยาย ผล ระบบ คุณวุธ วิชาชีพ
ไอโฟนสีม่วงกำลังจะวางขาย,ไอโฟน สีม่วง กำลังจะ วาง ขาย
ติดต่อเจ้าหน้าที่ กดศูนย์,ติดต่อ เจ้าหน้าที่   กด ศูนย์
ไฟบรรลัยกัลป์,ไฟ บรรไลย กัน
พืชเจริญเติบโตและมีสีเขียวที่บริเวณหน้าต่าง,พืช เจริญเติบโต และ มี สี เขียว ที่ บริเวณ หน้าต่าง
เธอตะปบที่ตาของคุณหรือเปล่า,เธอ ตะปบ ที่ ตา ของ คุณ หรือเปล่า
กลุ่มย้ายประเทศในเฟซบุ๊ก,กลุ่ม ยายประเทศ ใน เฟซ บุ๊ก
สี่เหลี่ยมด้านขนาน,สี่เหลี่ยม ด้าน ขนาน
ให้โอนขายแก่โจทก์,ให้ โอน ขาย แก่ โจทก
สัตว์ไม่มีกระดูกสันหลัง,สัตว์ ไม่ มี กระดูกสันหลัง
ปรับปรุงระบบบริหารจัดการการนำเข้าส่งออกสินค้า,ปรับปรุง ระบบ บริหาร จัดการ การ นำเข้า ส่งออก สินค้า
ลูกสาวบ้านนั้นชื่อพรรษชล,ลูกสาว บ้าน นั้น ชื่อ ภาสาชน
มหิตลาธิเบศรอดุลยเดชวิกรม,มขิตะลาธิเบศร์   อดุล ยเดช วิกรม
ท่าอากาศยานน่านนคร,ถ้า อากาศยาน น่าน นคร
การที่จะพิจารณาว่าใครเป็นศักดินาหรือไม่นั้น เราจะดูที่ไหน,การ ที่จะ พิจารณา ว่า ใคร เป็น ศักดินา หรือไม่ นั้น   เรา จะ ดู ที่ไหน
ความเกลียดชัง,ความเกลียดชัง
รองเท้าหุ้มส้น,รองเท้า คุม ซน
เห็นแอปอื่นเขาก็ใช้ ก็เลยใช้ด้วย ทำตามกัน,เห็น แอบ อื่น เขา ก็ ใช้   ก็ เลย ใช้ ด้วย   ทำตามกัน
วรรณกรรมชิ้นเอก,วรรณกรรม ชิ้น เอก
ฉันหวังว่าครั้งนี้คุณจะถูกนะ,ฉัน หวัง ว่า ครั้งนี้ คุณ จะ ถูก นะ
โปรแกรมประมวลผลคำและโปรแกรมตารางคำนวณ,โปรแกรม ประมวล ผล คำ และ โปรแกรม ตาราง คำนวณ
สุทินน์ กลันทบุตรได้แลเห็นพระผู้มีพระภาค,สุ ทิน น์   กลันท บุตร   ได้ แลเห็น พระ ผู้ มี พระ ภาค
นอนกลางดินกินกลางทราย,นอน กลางดิน   กิน กลาง ซาย
สิบสองพระกำนัล,สิบสองพระกำนัล
ทรัพย์สินทางปัญญา,ทรัพย์สินทางปัญญา
เพียงพอในการสร้าง,เพียงพอ ใน การ สร้าง
แหกทั้งมือทั้งเท้า,แหก ทั้งมือ ทั้งเท้า
วิมานอารมณ์ ทัศนีย์ สีทอง,วิมาน อารมณ์   ทัศนีย์   สี ทอง
ลูกฟักหน้าพรหม,ลูกฟักหน้า พรม
พัฒนาโครงสร้างพื้นฐาน,พัฒนา โครงสร้างพื้นฐาน
ชิ้นสองต้องขับเที่ยวเซซัง อุ้มลูกไปยังพนาไลย,ชิ้น สอง ต้อง ขับเที่ยว เซ ซัง   อุ่ง ลูก ไป ยัง พนาลัย
การท่าเรือแห่งประเทศไทย,การท่าเรือแห่งประเทศไทย
ฟื้นฟูดูแลรักษาผู้เสพผ่านกระบวนการทางสาธารณสุข,ฟื้นฟู ดูแล รักษา ผู้ เสข ผ่าน กระบวนการ ทาง สาธารณสุข
ความพิการทางการได้ยินหรือสื่อความหมาย,ความ พิการ ทางการ ได้ยิน หรือ ซื้อ ความหมาย
ในการเฝ้าระวัง,ใน การเฝ้า ระวัง
ในทุกรูปแบบครอบครัว,ใน ทุก รูปแบบ ครอบครัว
การประชุมคณะกรรมการบริหาร,การประชุม คณะกรรมการบริหาร
เท่าไหร่เท่ากัน,เท่าไร่ เท่ากัน
หลุยส์ เบรลล์,หลุยซ์ เบรลล์
ไก่โต้งโก่งคอขันกะต๊าก เมื่อยามเช้าตรู่,ไก่ต้ง โก่ง คอ ขัน กระต๊า   เมื่อ ยาม เช้า ตรู่
ประมวลผลข้อมูล,ประมวลผลข้อมูล
การแผ่อาณาเขต,การแผ่อณาเขต
ในความคิดของฉันมันคือแสงจากดวงจันทร์,ใน ความคิด ของ ฉัน มัน คือ แสง จาก ดวงจันทร์
ชุมสายโทรศัพท์,ชุม สาย โทรศัพท์
เย็นตาโฟเส้นใหญ่,เยนตาโฟน เส้นใหญ่
บางสิ่งบางอย่าง,บางสิ่งบางอย่าง
ในการกำหนดยุทธศาสตร์การพัฒนา,ใน การ กำหนด ยุทธศาสตร์ การพัฒนา
ช่วงนี้มีคนอยากย้ายประเทศกันเยอะ,ช่วงนี้ มี คน อยาก ย้าย ประเทศ กัน เยอะ
เธอฉีดวัคซีนหรือยัง,เธอ ฉีด วัคซีน หรือยัง
ศรรักน้ำผึ้ง รจเรข,สอน รัก น้ำผึ้ง   รจเรข
ตั้งใจสมาทานศีล ตามที่พระท่านนำกล่าว,ตั้งใจ สมา ธาน ศีล   ตามที่ พระ ท่าน นำ กล่าว
ความป่าเถื่อน,ความป่าเถื่อน
อาถรรพณ์ป่า เมื่อคุณหมอหลงป่า พนมเทียน,อา ถัน ป่า เมื่อ คุณ หมอ หลงป่า   พนม เทียน
โดยเมื่อการแถลงนโยบายของรัฐบาลเสร็จสิ้นแล้ว,โดย เมื่อ การ แถลง นโยบาย ของ รัฐบาล เสร็จสิ้น แล้ว
เครื่องหมายวรรคตอน,เครื่องหมายวัคตอน
คณะอักษรศาสตร์,คณะอักษรศาสตร์
เพิ่มพื้นที่ชลประทานเพื่อลดความเหลื่อมล้ำ,เพิ่ม พื้นที่ ชลประทาน เพื่อ ลด ความเหลื่อมล้ำ
เครื่องเย็บกระดาษ,เครื่องเย็บกระดาษ
อ่าวเวร อ่อของบริษัท,อ่าว เวร   อ่อ   ของ บริษัท
ได้คืบจะเอาศอก,ได้ คืม จะ เอาศอก
สนับสนุนการมีส่วนร่วมของประชาชน,สนับสนุน การ มีส่วนร่วม ของ ประชาชน
โคกลายกายาเป็นคาวี,โค กลาย กา ยา เป็น คาวี
ทันตกรรมช่องปาก,ทันตกรรม ช่องปาก
เน้นส่งเสริม,เน้น ส่งเสริม
วางหูโทรศัพท์,วาง หู โทรศัพท์
การศึกษาต่อเนื่อง,การศึกษา ต่อเนื่อง
เสน่ห์น้องสาว นลิน บุษกร,สนี่ น้องสาว   นลิน   บุษกร
รถโดยสารประจำทาง,รถโดยสารประจำทาง
แปดสิบเก้าองศาฟาเรนไฮน์,แปดสิบ เก้า องศา ฟา เร น ไฮต์
สุขสันต์วันเกิด,สุขสันต์วันเกิด
วันนี้มีการล้อเลียนเป็นการเล่นตลกของปู่,วันนี้ มี การล้อเรียน เป็น การ เล่นตลก ของ ปู
เบญจางคประดิษฐ์,เบ็นจางฆ่าประดิษฐ์
ศาลยุติธรรมระหว่างประเทศ,จารยุติธรรม ระหว่างประเทศ
วันอังคารสบายดี,วัน อังคาร สบายดี
สิงหะสูตรสี่ ตรี อภิรุม,สิงหะ สูตร สี่   ตรี   อภิรุม
สาวน้อยหนีรัก วลัย นวาระ,สาว น้อย หนี รัก   วลัย   นวาระ
พราหมณ์ขายเมีย,คราม ขาย เงีย
บริหารบ้านเมือง,บริหารบ้านเมือง
ไอยราแปลงเป็นคชสาร,ไอยรา แปยัง เป็น คชสาร
มันค่อนข้างเป็นตำแหน่งที่พิเศษ,มัน ค่อนข้าง เป็น ตำแหน่ง ที่ พิเศษ
การตัดสินใจร่วมงานกับองค์กรสักแห่ง,การตัดสินใจ ร่วมงาน กับ องค์กร สัก แห่ง
น่ารักน่าเอ็นดู,น่ารักน่าเอ็นดู
สู่การเพิ่มมูลค่าในเชิงพาณิชย์,สู่ การ เพิ่ม มูลค่า ใน เชิงพาณิชย์
แฟ้มเสียงแบบลอสเลส,แฟ้ม เสียง แบบ ลอส เรส
ผู้มีส่วนร่วม,ผู้ มีส่วนร่วม
การช่วยเหลือกู้ภัย,การ ช่วยเหลือ กู้ภัย
ตะเกียงเจ้าพายุ,ตะเกียง เจ้า พายุ
เลื่อนกล่องไปตรงที่ว่างตรงนั้น,เลื่อน กล่อง ไป ตรง ที่ว่าง ตรงนั้น
ข้าวสารข้าวเหนียว,ข้าวสารข้าวเหนียว
ดึงอีกอันหนึ่ง,ดึง อีก อัน หนึ่ง
ให้ตรงกับความต้องการของตลาดแรงงาน,ให้ ตรง กับ ความต้องการ ของ ตลาด แรงงาน
การจิบชาทำให้เพื่อนที่อ่อนล้าของเขาสดชื่นขึ้น,การ จิบ ชา ทำให้ เพื่อน ที่ อ่อนลน์ ของ เขา สดชื่น ขึ้น
วิมานซาตาน สราญรส,วิมาน สาตาน   สราญ รส
ไม่มีเวลาเหลือแล้ว,ไม่ มี เวลา เหรือ แล้ว
พัฒนาสาธารณูปโภคพื้นฐาน,พัฒนา สาธารนูปโภค พื้นฐาน
ทูตสันถวไมตรี,ทูต สันทว ไมตรี
เรื่องเหลวไหล,เรื่องเหลวไหล
แสดง,แสดง
ธนบัตรราคาหนึ่งร้อยบาท,ธนบัตร ราคา หนึ่งร้อย บาท
สามหมื่นประโยคแล้ว,สาม หมื่น ประโยค แล้ว
การประกอบธุรกิจ,การ ประกอบธุรกิจ
เสถียร รัตนวงศ์,เสถียรรัตนวงศ์
องค์การตลาดเพื่อเกษตรกร,องค์การตลาด เพื่อ เกษตรกร
กฎหมายเพื่อยกระดับมาตรฐานด้านความปลอดภัยไซเบอร์,กฎหมาย เพื่อ ยกระดับ มาตรฐาน ด้าน ความปลอดภัย ไซเบอร์
ธนาคารมหานคร,ธนาคาร มหานคร
สำนักงานสถิติแห่งชาติ,สำนักงานสถิติแห่งชาติ
สิบห้าค่ำ,สิบห้า ค่ำ
เป็นครั้งคราว,เป็นครั้งคราว
วิมานน้ำผึ้ง วลัย นวาระ,วิมาน น้ำผึ้ง   วลัย   นวาระ
ความเยือกเย็น,ความเยือกเย็น
ชิน คอร์ปอเรชั่น,ชิน   คอร์ปอเรชั่น
พัฒนาระบบจัดเก็บภาษีของรัฐ,พัฒนา ระบบ จัดเก็บภาษี ของ รัฐ
เลือดก้อนเดียวตัดทิ้งได้,เลือดก้อน เดียว ตัด ทิ้ง ได้
บริษัทเครดิตฟองซิเอร์,บริษัท เครดิต ฟองซิเอร์
เสียศักดิ์ศรี,เสียศักดิ์ศรี
พนาปำทำไมจะไพล่เผล,พนา ปัม   ทำไม จะ ไพร่เผล
อ่าวอะมุนด์เซน,อ่าว อมุน เซน
ส่งเสริมการวิจัยพัฒนานวัตกรรม,ส่งเสริม การวิจัย พัฒนา นวัตกรรม
เรื่องพวกนี้ก็แล้วแต่เกณฑ์ที่เราจะตั้งแหละ,เรื่อง พวก นี้ ก็ แล้ว ตะเคน ที่ เรา จะ ตั้ง แหละ
ในขณะที่รายได้จากภาษีของประเทศมีอยู่อย่างจำกัด,ในขณะที่ ราย ได้ จาก ภาษี ของ ประเทศ มี อยู่ อย่าง จำกัด
เงินเดือนเงินดาว,เงินเดือน เงินดาว
เพื่อเพิ่มผลผลิต,เพื่อ เพิ่ม ผลผลิต
ฮอร์โมนเพศชาย,ฮอร์โมน เพศชาย
สร้างพลัง,สร้าง พลัง
มันไม่มีสิ่งใด,มัน ไม่ มี สิ่งใด
นิคมอุตสาหกรรม,นิคมอุตสาหกรรม
รู้เหนือรู้ใต้,รู้เหนือรู้ใต้
ฉันรู้ว่าคุณจะรู้สึกมั่นใจ,ฉัน รู้ ว่า คุณ จะ รู้สึก มั่นใจ
